Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
El Salvador,SLV,2023,Control of Corruption: Estimate,CC.EST,-0.561315059661865
El Salvador,SLV,2022,Control of Corruption: Estimate,CC.EST,-0.642525255680084
El Salvador,SLV,2021,Control of Corruption: Estimate,CC.EST,-0.5537109375
El Salvador,SLV,2020,Control of Corruption: Estimate,CC.EST,-0.577636420726776
El Salvador,SLV,2019,Control of Corruption: Estimate,CC.EST,-0.537863314151764
El Salvador,SLV,2018,Control of Corruption: Estimate,CC.EST,-0.586434960365295
El Salvador,SLV,2017,Control of Corruption: Estimate,CC.EST,-0.534349262714386
El Salvador,SLV,2016,Control of Corruption: Estimate,CC.EST,-0.5561683177948
El Salvador,SLV,2015,Control of Corruption: Estimate,CC.EST,-0.447838723659515
El Salvador,SLV,2014,Control of Corruption: Estimate,CC.EST,-0.375204563140869
El Salvador,SLV,2013,Control of Corruption: Estimate,CC.EST,-0.349343955516815
El Salvador,SLV,2012,Control of Corruption: Estimate,CC.EST,-0.41251277923584
El Salvador,SLV,2011,Control of Corruption: Estimate,CC.EST,-0.247806414961815
El Salvador,SLV,2010,Control of Corruption: Estimate,CC.EST,-0.258609384298325
El Salvador,SLV,2009,Control of Corruption: Estimate,CC.EST,-0.230227887630463
El Salvador,SLV,2008,Control of Corruption: Estimate,CC.EST,-0.411013573408127
El Salvador,SLV,2007,Control of Corruption: Estimate,CC.EST,-0.423062175512314
El Salvador,SLV,2006,Control of Corruption: Estimate,CC.EST,-0.335918337106705
El Salvador,SLV,2005,Control of Corruption: Estimate,CC.EST,-0.50867372751236
El Salvador,SLV,2004,Control of Corruption: Estimate,CC.EST,-0.480672061443329
El Salvador,SLV,2003,Control of Corruption: Estimate,CC.EST,-0.416793614625931
El Salvador,SLV,2002,Control of Corruption: Estimate,CC.EST,-0.813145220279694
El Salvador,SLV,2000,Control of Corruption: Estimate,CC.EST,-0.745444059371948
El Salvador,SLV,1998,Control of Corruption: Estimate,CC.EST,-0.890717148780823
El Salvador,SLV,1996,Control of Corruption: Estimate,CC.EST,-0.865277528762817
El Salvador,SLV,2023,Control of Corruption: Number of Sources,CC.NO.SRC,11
El Salvador,SLV,2022,Control of Corruption: Number of Sources,CC.NO.SRC,11
El Salvador,SLV,2021,Control of Corruption: Number of Sources,CC.NO.SRC,12
El Salvador,SLV,2020,Control of Corruption: Number of Sources,CC.NO.SRC,12
El Salvador,SLV,2019,Control of Corruption: Number of Sources,CC.NO.SRC,13
El Salvador,SLV,2018,Control of Corruption: Number of Sources,CC.NO.SRC,13
El Salvador,SLV,2017,Control of Corruption: Number of Sources,CC.NO.SRC,13
El Salvador,SLV,2016,Control of Corruption: Number of Sources,CC.NO.SRC,13
El Salvador,SLV,2015,Control of Corruption: Number of Sources,CC.NO.SRC,13
El Salvador,SLV,2014,Control of Corruption: Number of Sources,CC.NO.SRC,13
El Salvador,SLV,2013,Control of Corruption: Number of Sources,CC.NO.SRC,14
El Salvador,SLV,2012,Control of Corruption: Number of Sources,CC.NO.SRC,14
El Salvador,SLV,2011,Control of Corruption: Number of Sources,CC.NO.SRC,13
El Salvador,SLV,2010,Control of Corruption: Number of Sources,CC.NO.SRC,12
El Salvador,SLV,2009,Control of Corruption: Number of Sources,CC.NO.SRC,12
El Salvador,SLV,2008,Control of Corruption: Number of Sources,CC.NO.SRC,10
El Salvador,SLV,2007,Control of Corruption: Number of Sources,CC.NO.SRC,10
El Salvador,SLV,2006,Control of Corruption: Number of Sources,CC.NO.SRC,10
El Salvador,SLV,2005,Control of Corruption: Number of Sources,CC.NO.SRC,9
El Salvador,SLV,2004,Control of Corruption: Number of Sources,CC.NO.SRC,9
El Salvador,SLV,2003,Control of Corruption: Number of Sources,CC.NO.SRC,7
El Salvador,SLV,2002,Control of Corruption: Number of Sources,CC.NO.SRC,6
El Salvador,SLV,2000,Control of Corruption: Number of Sources,CC.NO.SRC,5
El Salvador,SLV,1998,Control of Corruption: Number of Sources,CC.NO.SRC,4
El Salvador,SLV,1996,Control of Corruption: Number of Sources,CC.NO.SRC,5
El Salvador,SLV,2023,Control of Corruption: Percentile Rank,CC.PER.RNK,32.0754699707031
El Salvador,SLV,2022,Control of Corruption: Percentile Rank,CC.PER.RNK,27.3584899902344
El Salvador,SLV,2021,Control of Corruption: Percentile Rank,CC.PER.RNK,32.8571434020996
El Salvador,SLV,2020,Control of Corruption: Percentile Rank,CC.PER.RNK,30.9523811340332
El Salvador,SLV,2019,Control of Corruption: Percentile Rank,CC.PER.RNK,33.8095245361328
