Country Name,Year,Indicator Name,Value
El Salvador,2022,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",20.28301811
El Salvador,2021,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",22.8571434
El Salvador,2020,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",22.8571434
El Salvador,2019,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",25.7142849
El Salvador,2018,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",24.2857151
El Salvador,2017,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",24.2857151
El Salvador,2016,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",22.8571434
El Salvador,2015,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",28.09523773
El Salvador,2014,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",31.25
El Salvador,2013,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",35.0710907
El Salvador,2012,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",30.80568695
El Salvador,2011,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",36.4928894
El Salvador,2010,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",34.2857132
El Salvador,2009,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",36.36363602
El Salvador,2008,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",27.18446541
El Salvador,2007,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",27.18446541
El Salvador,2006,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",31.70731735
El Salvador,2005,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",22.92682838
El Salvador,2004,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",25.12315178
El Salvador,2003,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",28.04232788
El Salvador,2002,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",8.465608597
El Salvador,2000,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",11.17021275
El Salvador,1998,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",3.743315458
El Salvador,1996,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",5.913978577
El Salvador,2022,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",40.09434128
El Salvador,2021,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",46.19047546
El Salvador,2020,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",42.8571434
El Salvador,2019,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",43.80952454
El Salvador,2018,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",41.90476227
El Salvador,2017,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",43.80952454
El Salvador,2016,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",44.76190567
El Salvador,2015,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",50.47618866
El Salvador,2014,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",52.88461685
El Salvador,2013,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",54.50236893
El Salvador,2012,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",53.55450058
El Salvador,2011,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",57.81990433
El Salvador,2010,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",59.04761887
El Salvador,2009,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",59.80861282
El Salvador,2008,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",53.39805984
El Salvador,2007,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",54.36893082
El Salvador,2006,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",55.60975647
El Salvador,2005,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",49.75609589
El Salvador,2004,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",50.24630356
El Salvador,2003,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",55.02645493
El Salvador,2002,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",38.62434006
El Salvador,2000,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",44.68085098
El Salvador,1998,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",36.36363602
El Salvador,1996,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",38.70967865
